SRR12845350.genes	SRR8094770.genes
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
1	1
NA	NA
NA	1
NA	NA
1	NA
NA	NA
NA	2
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	4
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	1
NA	1
NA	NA
NA	2
NA	1
NA	NA
NA	NA
NA	NA
NA	2
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	6
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	3
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	NA
NA	NA
1	NA
89625	NA
NA	NA
5	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	3
NA	NA
1	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
1	NA
NA	NA
NA	6
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	2
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	4
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	3
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	2
1	NA
NA	NA
NA	1
NA	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	NA
2	NA
1	2
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	3
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	NA
NA	6
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
1	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
1	2
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	NA
3	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	1
1	NA
NA	NA
NA	NA
2	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
26	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
6	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	1
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	3
NA	NA
NA	NA
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	4
NA	NA
NA	NA
NA	NA
NA	NA
NA	2
NA	NA
NA	NA
2	NA
NA	NA
NA	NA
1	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
2	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	2
NA	NA
NA	NA
NA	1
NA	NA
NA	2
NA	NA
NA	NA
NA	NA
NA	1
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	1
NA	NA
1	NA
NA	NA
NA	4
NA	NA
2	NA
NA	NA
NA	1
NA	1
NA	1
1	NA
NA	NA
3	NA
NA	1
NA	1
NA	NA
1	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	10
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	1
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
